ID,Department Name,Parent Department/External ID
100000-101078-103632-100374-101340-100393-100394,BDS BE PE-EI-2,100000-101078-103632-100374-101340-100393
100000-101078-103632-100374-101340-100351,BDSB/BE/Organiz Effectiveness,100000-101078-103632-100374-101340
100000-101078-103632-100374-101340-104193,BDSB/BE/Strategic Workload Man,100000-101078-103632-100374-101340
100000-101078-103632-100374-101340-104781,BDSB/BE/Business Intelligence,100000-101078-103632-100374-101340
100000-101078-103632-100374-100477,BDSB/OAS&International Opertio,100000-101078-103632-100374
100000-101078-103632-100374-100477-101520,IO/Ops/Edm,100000-101078-103632-100374-100477
100000-101078-103632-100374-100477-101520-101980,IO/Ops/Edm-C,100000-101078-103632-100374-100477-101520
100000-101078-103632-100374-100477-101520-103796,Process & Payment Ops Int,100000-101078-103632-100374-100477-101520
100000-101078-103632-100374-100477-101520-101977,IO/Ops/Edm-A,100000-101078-103632-100374-100477-101520
100000-101078-103632-100374-100477-101520-103787,IO/Ops/Edm-E,100000-101078-103632-100374-100477-101520
100000-101078-103632-100374-100477-101520-101978,IO/Ops/Edm-B,100000-101078-103632-100374-100477-101520
100000-101078-103632-100374-100477-101336,International Operations Edm,100000-101078-103632-100374-100477
100000-101078-103632-100374-100477-101336-102092,OAS/Ops/Edm-C,100000-101078-103632-100374-100477-101336
100000-101078-103632-100374-100477-101336-102082,OAS/PO/Edm,100000-101078-103632-100374-100477-101336
100000-101078-103632-100374-100477-101336-104445,Old Age Security - B,100000-101078-103632-100374-100477-101336
100000-101078-103632-100374-100477-101504,OAS/Operations/Edmonton 1,100000-101078-103632-100374-100477
100000-101078-103632-100374-100477-101504-104232,Old Age Security,100000-101078-103632-100374-100477-101504
100000-101078-103632-100374-100477-101504-101966,OAS/Ops/Edm-E,100000-101078-103632-100374-100477-101504
100000-101078-103632-100374-100477-100478,OAS/Operations/Victoria 1,100000-101078-103632-100374-100477
100000-101078-103632-100374-100477-100478-101970,OAS/Ops/Vic-D,100000-101078-103632-100374-100477-100478
100000-101078-103632-100374-100477-100478-104469,Old Age Security - PSDC,100000-101078-103632-100374-100477-100478
100000-101078-103632-100374-100477-100478-103757,OAS/Ops/Vic-F,100000-101078-103632-100374-100477-100478
100000-101078-103632-100374-100477-100478-105773,Old Age Security,100000-101078-103632-100374-100477-100478
100000-101078-103632-100374-100477-100478-101968,OAS/Ops/Vic-B,100000-101078-103632-100374-100477-100478
100000-101078-103632-100374-100477-101539,OAS/Operations/Victoria 2,100000-101078-103632-100374-100477
100000-101078-103632-100374-100477-101539-105865,Old Age Security - D,100000-101078-103632-100374-100477-101539
100000-101078-103632-100374-100477-101539-101969,OAS/Ops/Vic-C,100000-101078-103632-100374-100477-101539
100000-101078-103632-100374-100477-101539-104325,OAS SCBO Team Leader,100000-101078-103632-100374-100477-101539
100000-101078-103632-100374-100477-101539-105777,Old Age Security,100000-101078-103632-100374-100477-101539
100000-101078-103632-100374-100477-101409,OAS/Operations/Winnipeg,100000-101078-103632-100374-100477
100000-101078-103632-100374-100477-101409-101974,OAS/Ops/wpg-C,100000-101078-103632-100374-100477-101409
100000-101078-103632-100374-100477-101409-101973,OAS/Ops/wpg-B,100000-101078-103632-100374-100477-101409
100000-101078-103632-100374-100477-101409-101972,OAS/Ops/wpg-A,100000-101078-103632-100374-100477-101409
100000-101078-103632-100374-100477-101409-101975,OAS/Ops/wpg-D,100000-101078-103632-100374-100477-101409
100000-101078-103632-100374-100486,BDSB/CPPD/WT,100000-101078-103632-100374
100000-101078-103632-100374-100486-101335,CPPD/Operations/NonMed 1,100000-101078-103632-100374-100486
100000-101078-103632-100374-100486-101335-101981,CPPD/Ops/Non Med - B,100000-101078-103632-100374-100486-101335
100000-101078-103632-100374-100486-101335-101981-105402,CPPD/Ops/Non Med,100000-101078-103632-100374-100486-101335-101981
100000-101078-103632-100374-100486-101335-101982,CPPD/Ops/Non Med - C,100000-101078-103632-100374-100486-101335
100000-101078-103632-100374-100486-101335-101984,CPPD/Ops/Non Med - E,100000-101078-103632-100374-100486-101335
100000-101078-103632-100374-100486-101335-101985,CPPD/Ops/Non Med - F,100000-101078-103632-100374-100486-101335
100000-101078-103632-100374-100486-100383,CPPD/Operations/Edmonton 2,100000-101078-103632-100374-100486
100000-101078-103632-100374-100486-100380,CPPD/Operations/Edmonton 1,100000-101078-103632-100374-100486
100000-101078-103632-100374-100486-104382,CPPD/Operations/NonMed 2,100000-101078-103632-100374-100486
100000-101078-103632-100374-100486-104382-101986,CPPD/Ops/Non Med - G,100000-101078-103632-100374-100486-104382
100000-101078-103632-100374-100486-104382-101983,CPPD/Ops/Non Med - D,100000-101078-103632-100374-100486-104382
100000-101078-103632-100374-100486-100487,CPPD/Operations/Victoria 1,100000-101078-103632-100374-100486
100000-101078-103632-100374-100486-100489,CPPD/Operations/Victoria 3,100000-101078-103632-100374-100486
100000-101078-103632-100374-100486-104383,CPPD/Operations/Victoria 3,100000-101078-103632-100374-100486
100000-101078-103632-100374-100486-100488,CPPD/Operations/Victoria 4,100000-101078-103632-100374-100486
100000-101078-103632-100374-100486-104543,CPPD/Operations/Winnipeg 3,100000-101078-103632-100374-100486
100000-101078-103632-100374-100486-100345,CPPD/Operations/Winnipeg 1,100000-101078-103632-100374-100486
100000-101078-103632-100374-100486-100346,CPPD/Operations/Winnipeg 2,100000-101078-103632-100374-100486
100000-101078-103632-100374-100379,BDSB/CPP-Foundation Services/O,100000-101078-103632-100374
100000-101078-103632-100374-100379-104391,Foundation Services/Wpg/Edm,100000-101078-103632-100374-100379
100000-101078-103632-100374-100379-104391-104831,Foundation Services/Edm/B,100000-101078-103632-100374-100379-104391
100000-101078-103632-100374-100379-104391-102080,FS/Edm/CP,100000-101078-103632-100374-100379-104391
100000-101078-103632-100374-100379-104391-104832,Foundation Services/Wpg/C,100000-101078-103632-100374-100379-104391
100000-101078-103632-100374-100379-104391-102085,FS/Wpg/A,100000-101078-103632-100374-100379-104391
